Date,STOCKS,STOCKS_TR,BONDS,GOLD
1969-04-08,100.140000,111.192454,1.008555,43.380000
1969-04-09,101.020000,112.183127,1.013646,43.400000
1969-04-10,101.550000,112.785361,1.014706,43.390000
1969-04-11,101.650000,112.910165,1.017390,43.400000
1969-04-14,101.570000,112.835059,1.024964,43.150000
1969-04-15,101.530000,112.804369,1.021110,42.980000
1969-04-16,100.630000,111.818172,1.022175,43.250000
1969-04-17,100.780000,111.998472,1.019969,43.200000
1969-04-18,101.240000,112.523322,1.017769,43.230000
1969-04-21,100.560000,111.781244,1.019646,43.150000
1969-04-22,100.780000,112.039411,1.021526,43.300000
1969-04-23,100.800000,112.075295,1.021774,43.350000
1969-04-24,101.270000,112.611523,1.020388,43.350000
1969-04-25,101.720000,113.125639,1.019820,43.300000
1969-04-28,102.030000,113.484180,1.016805,43.600000
1969-04-29,102.790000,114.343326,1.015428,43.500000
1969-04-30,103.690000,115.358414,1.016491,43.600000
1969-05-01,103.510000,115.171812,1.012675,43.600000
1969-05-02,104.000000,115.730650,1.014546,43.600000
1969-05-05,104.370000,116.156082,1.018044,43.500000
1969-05-06,104.860000,116.715165,1.015850,43.380000
1969-05-07,104.670000,116.517499,1.016101,43.600000
1969-05-08,105.100000,117.009962,1.017978,43.630000
1969-05-09,105.050000,116.968146,1.015785,43.530000
1969-05-12,104.890000,116.803838,1.012786,43.500000
1969-05-13,105.340000,117.318777,1.014658,43.500000
1969-05-14,106.160000,118.245910,1.015722,43.500000
1969-05-15,105.850000,117.914613,1.014348,43.500000
1969-05-16,105.940000,118.028828,1.010542,43.500000
1969-05-19,104.970000,116.962112,1.006753,43.500000
1969-05-20,104.040000,115.939710,1.007007,43.430000
1969-05-21,104.470000,116.432615,1.007262,43.450000
1969-05-22,104.600000,116.591282,1.007516,43.450000
1969-05-23,104.590000,116.593936,1.006158,43.500000
1969-05-27,103.570000,115.470670,0.993826,43.480000
1969-05-28,103.260000,115.138717,0.992494,43.330000
1969-05-29,103.460000,115.375353,0.992753,43.230000
1969-06-02,102.940000,114.809920,0.993011,42.680000
1969-06-03,102.630000,114.478558,0.994064,42.290000
1969-06-04,102.590000,114.448282,0.993527,42.080000
1969-06-05,102.760000,114.652271,0.995375,41.600000
1969-06-06,102.120000,113.952569,0.997226,40.630000
1969-06-09,101.200000,112.940246,0.991900,41.250000
1969-06-10,100.420000,112.083907,0.994540,42.300000
1969-06-11,99.050000,110.568822,0.994799,41.400000
1969-06-12,98.260000,109.700803,0.996649,41.500000
1969-06-13,98.650000,110.149956,0.999300,41.600000
1969-06-16,98.320000,109.795287,1.001157,40.800000
1969-06-17,97.950000,109.395859,0.999012,41.450000
1969-06-18,97.810000,109.253204,0.998471,41.400000
1969-06-19,97.240000,108.630205,0.995535,41.450000
1969-06-20,96.670000,108.007048,0.994202,41.300000
1969-06-23,96.230000,107.528978,0.993666,41.300000
1969-06-24,97.320000,108.760434,0.991542,40.930000
1969-06-25,97.010000,108.427618,0.991803,40.900000
1969-06-26,97.250000,108.709449,0.992857,41.000000
1969-06-27,97.330000,108.812495,0.989941,41.100000
1969-06-30,97.710000,109.250958,0.984659,41.200000
1969-07-01,98.080000,109.679018,0.983346,41.150000
1969-07-02,98.940000,110.655137,0.982036,41.230000
1969-07-03,99.610000,111.419012,0.983871,41.550000
1969-07-07,99.030000,110.784895,0.983348,41.850000
1969-07-08,97.630000,109.233274,0.981251,42.100000
1969-07-09,96.880000,108.408493,0.979161,41.830000
1969-07-10,95.380000,106.744244,0.982559,41.900000
1969-07-11,95.770000,107.194740,0.993828,41.890000
1969-07-14,94.550000,105.843289,0.990115,42.000000
1969-07-15,94.240000,105.510173,0.988001,42.000000
1969-07-16,95.180000,106.576454,0.992217,41.800000
1969-07-17,95.760000,107.239907,0.990892,41.980000
1969-07-18,94.950000,106.346897,0.990362,41.950000
1969-07-22,93.520000,104.759229,0.993795,41.950000
1969-07-23,93.120000,104.324925,0.992467,41.800000
1969-07-24,92.800000,103.980131,0.991142,41.900000
1969-07-25,92.060000,103.164645,0.990613,41.850000
1969-07-28,90.210000,101.105048,0.989292,41.780000
1969-07-29,89.480000,100.300171,0.990347,41.500000
1969-07-30,89.930000,100.817768,0.990611,41.480000
1969-07-31,91.830000,102.961049,0.995631,41.390000
1969-08-01,93.470000,104.813476,0.995894,41.430000
1969-08-04,92.990000,104.289106,0.998547,41.300000
1969-08-05,93.410000,104.773952,1.001206,41.100000
1969-08-06,93.920000,105.359873,0.999867,41.000000
1969-08-07,93.990000,105.452354,0.999329,41.050000
1969-08-08,93.940000,105.410223,0.998793,41.150000
1969-08-11,93.360000,104.773365,0.995061,41.200000
1969-08-12,92.630000,103.967998,0.994529,41.100000
1969-08-13,92.700000,104.060336,0.994793,41.200000
1969-08-14,93.340000,104.792550,0.996649,41.190000
1969-08-15,94.000000,105.547409,0.996914,41.110000
1969-08-18,94.570000,106.201409,0.998773,41.130000
1969-08-19,95.070000,106.776971,0.999836,41.100000
1969-08-20,95.070000,106.791113,0.999300,41.100000
